.bm|image/bmp
.bmp|image/bmp
.c|text/plain
.c++|text/plain
.cc|text/plain
.com|application/octet-stream
.conf|text/plain
.cpp|text/x-c
.csh|text/x-script.csh
.css|text/css
.cxx|text/plain
.doc|application/msword
.dot|application/msword
.exe|application/octet-stream
.gif|image/gif
.gtar|application/x-gtar
.gz|application/x-gzip
.gzip|application/x-gzip
.h|text/plain
.help|application/x-helpfile
.hlb|text/x-script
.htm|text/html
.html|text/html
.htmls|text/html
.jav|text/plain
.java|text/plain
.jpe|image/jpeg
.jpeg|image/jpeg
.jpg|image/jpeg
.log|text/plain
.mid|audio/midi
.midi|audio/midi
.mime|www/mime
.mjpg|video/x-motion-jpeg
.mov|video/quicktime
.mp3|audio/mpeg3
.mpa|audio/mpeg
.mpe|video/mpeg
.mpeg|video/mpeg
.mpg|video/mpeg
.p|text/x-pascal
.pas|text/pascal
.pic|image/pict
.pict|image/pict
.png|image/png
.shtml|text/html
.tar|application/x-tar
.tif|image/tiff
.tiff|image/tiff
.zip|application/zip
